SECID,NAME,FACEVALUE,COUPONVALUE,COUPONPERIOD,MATDATE,YIELD,PRICE
SU26207RMFS9,SU26207RMFS9,1000.0,40.64,182,2027-02-03,19.05,1000.0
SU26207RMFS9,SU26207RMFS9,1000.0,40.64,182,2027-02-03,13.04,96.715
SU26212RMFS9,SU26212RMFS9,1000.0,35.15,182,2028-01-19,4.59,1000.0
SU26212RMFS9,SU26212RMFS9,1000.0,35.15,182,2028-01-19,13.17,91.355
SU26218RMFS6,SU26218RMFS6,1000.0,42.38,182,2031-09-17,5.99,1000.0
SU26218RMFS6,SU26218RMFS6,1000.0,42.38,182,2031-09-17,13.94,81.299
SU26219RMFS4,SU26219RMFS4,1000.0,38.64,182,2026-09-16,6.63,1000.0
SU26219RMFS4,SU26219RMFS4,1000.0,38.64,182,2026-09-16,13.19,98.149
SU26221RMFS0,SU26221RMFS0,1000.0,38.39,182,2033-03-23,10.74,1000.0
SU26221RMFS0,SU26221RMFS0,1000.0,38.39,182,2033-03-23,14.33,73.182
SU26224RMFS4,SU26224RMFS4,1000.0,34.41,182,2029-05-23,6.91,1000.0
SU26224RMFS4,SU26224RMFS4,1000.0,34.41,182,2029-05-23,13.26,85.278
SU26225RMFS1,SU26225RMFS1,1000.0,36.15,182,2034-05-10,7.18,1000.0
SU26225RMFS1,SU26225RMFS1,1000.0,36.15,182,2034-05-10,14.52,67.92
SU26226RMFS9,SU26226RMFS9,1000.0,39.64,182,2026-10-07,-18.06,1000.0
SU26226RMFS9,SU26226RMFS9,1000.0,39.64,182,2026-10-07,13.36,97.887
SU26228RMFS5,SU26228RMFS5,1000.0,38.15,182,2030-04-10,11.88,1000.0
SU26228RMFS5,SU26228RMFS5,1000.0,38.15,182,2030-04-10,13.63,83.33
SU26232RMFS7,SU26232RMFS7,1000.0,29.92,182,2027-10-06,4.88,1000.0
SU26232RMFS7,SU26232RMFS7,1000.0,29.92,182,2027-10-06,13.17,91.326
SU26233RMFS5,SU26233RMFS5,1000.0,30.42,182,2035-07-18,16.75,1000.0
SU26233RMFS5,SU26233RMFS5,1000.0,30.42,182,2035-07-18,14.37,60.152
SU26235RMFS0,SU26235RMFS0,1000.0,29.42,182,2031-03-12,19.29,1000.0
SU26235RMFS0,SU26235RMFS0,1000.0,29.42,182,2031-03-12,13.89,73.636
SU26236RMFS8,SU26236RMFS8,1000.0,28.42,182,2028-05-17,13.94,1000.0
SU26236RMFS8,SU26236RMFS8,1000.0,28.42,182,2028-05-17,13.02,87.79
SU26237RMFS6,SU26237RMFS6,1000.0,33.41,182,2029-03-14,22.59,1000.0
SU26237RMFS6,SU26237RMFS6,1000.0,33.41,182,2029-03-14,13.11,85.864
SU26239RMFS2,SU26239RMFS2,1000.0,34.41,182,2031-07-23,11.62,1000.0
SU26239RMFS2,SU26239RMFS2,1000.0,34.41,182,2031-07-23,13.94,75.782
SU26240RMFS0,SU26240RMFS0,1000.0,34.9,182,2036-07-30,0.0,1000.0
SU26240RMFS0,SU26240RMFS0,1000.0,34.9,182,2036-07-30,14.54,62.242
SU26241RMFS8,SU26241RMFS8,1000.0,47.37,182,2032-11-17,0.0,1000.0
SU26241RMFS8,SU26241RMFS8,1000.0,47.37,182,2032-11-17,14.18,82.135
SU26242RMFS6,SU26242RMFS6,1000.0,44.88,182,2029-08-29,0.0,1000.0
SU26242RMFS6,SU26242RMFS6,1000.0,44.88,182,2029-08-29,13.17,89.998
SU26243RMFS4,SU26243RMFS4,1000.0,48.87,182,2038-05-19,0.0,1000.0
SU26243RMFS4,SU26243RMFS4,1000.0,48.87,182,2038-05-19,14.58,75.434
SU26244RMFS2,SU26244RMFS2,1000.0,56.1,182,2034-03-15,0.0,1000.0
SU26244RMFS2,SU26244RMFS2,1000.0,56.1,182,2034-03-15,14.57,86.78
SU26245RMFS9,SU26245RMFS9,1000.0,59.84,182,2035-09-26,0.0,1000.0
SU26245RMFS9,SU26245RMFS9,1000.0,59.84,182,2035-09-26,14.63,89.067
SU26246RMFS7,SU26246RMFS7,1000.0,59.84,182,2036-03-12,0.0,1000.0
SU26246RMFS7,SU26246RMFS7,1000.0,59.84,182,2036-03-12,14.62,88.843
SU26247RMFS5,SU26247RMFS5,1000.0,61.08,182,2039-05-11,0.0,1000.0
SU26247RMFS5,SU26247RMFS5,1000.0,61.08,182,2039-05-11,14.62,88.969
SU26248RMFS3,SU26248RMFS3,1000.0,61.08,182,2040-05-16,0.0,1000.0
SU26248RMFS3,SU26248RMFS3,1000.0,61.08,182,2040-05-16,14.59,88.815
SU26249RMFS1,SU26249RMFS1,1000.0,54.85,182,2032-06-16,0.0,1000.0
SU26249RMFS1,SU26249RMFS1,1000.0,54.85,182,2032-06-16,14.18,88.893
SU26250RMFS9,SU26250RMFS9,1000.0,59.84,182,2037-06-10,0.0,1000.0
SU26250RMFS9,SU26250RMFS9,1000.0,59.84,182,2037-06-10,14.63,88.167
SU26251RMFS7,SU26251RMFS7,1000.0,47.37,182,2030-08-28,0.0,1000.0
SU26251RMFS7,SU26251RMFS7,1000.0,47.37,182,2030-08-28,13.76,87.696
SU26252RMFS5,SU26252RMFS5,1000.0,62.33,182,2033-10-12,0.0,1000.0
SU26252RMFS5,SU26252RMFS5,1000.0,62.33,182,2033-10-12,14.47,93.264
SU26253RMFS3,SU26253RMFS3,1000.0,64.82,182,2038-10-06,0.0,1000.0
SU26253RMFS3,SU26253RMFS3,1000.0,64.82,182,2038-10-06,14.63,93.468
SU26254RMFS1,SU26254RMFS1,1000.0,64.82,182,2040-10-03,0.0,1000.0
SU26254RMFS1,SU26254RMFS1,1000.0,64.82,182,2040-10-03,14.61,93.188
SU29022RMFS9,SU29022RMFS9,1000.0,37.65,91,2033-07-20,0.0,1000.0
SU29022RMFS9,SU29022RMFS9,1000.0,37.65,91,2033-07-20,0.0,97.076
SU29024RMFS5,SU29024RMFS5,1000.0,37.65,91,2035-04-18,0.0,1000.0
SU29024RMFS5,SU29024RMFS5,1000.0,37.65,91,2035-04-18,0.0,95.933
SU52005RMFS4,SU52005RMFS4,1265.04,15.87,182,2033-05-11,0.0,1265.04
